feature,feature,type,p_value,relevant
valid,valid,binary,1.8117215667481564e-19,True
frequency__energy_ratio_by_chunks__num_segments_10__segment_focus_0,frequency__energy_ratio_by_chunks__num_segments_10__segment_focus_0,real,1.0319197191863753e-10,True
"frequency__agg_linear_trend__attr_""slope""__chunk_len_50__f_agg_""max""","frequency__agg_linear_trend__attr_""slope""__chunk_len_50__f_agg_""max""",real,1.0319197191863753e-10,True
frequency__skewness,frequency__skewness,real,1.0319197191863753e-10,True
frequency__mean_n_absolute_max__number_of_maxima_7,frequency__mean_n_absolute_max__number_of_maxima_7,real,1.0971432123811849e-10,True
frequency__index_mass_quantile__q_0.2,frequency__index_mass_quantile__q_0.2,real,1.1732742193038083e-10,True
frequency__autocorrelation__lag_7,frequency__autocorrelation__lag_7,real,1.3179410314815902e-10,True
frequency__index_mass_quantile__q_0.4,frequency__index_mass_quantile__q_0.4,real,1.4244736373710715e-10,True
frequency__index_mass_quantile__q_0.3,frequency__index_mass_quantile__q_0.3,real,1.509742660111432e-10,True
"frequency__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""max""","frequency__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""max""",real,1.5819739466252076e-10,True
frequency__ar_coefficient__coeff_0__k_10,frequency__ar_coefficient__coeff_0__k_10,real,1.5819739466252076e-10,True
frequency__index_mass_quantile__q_0.1,frequency__index_mass_quantile__q_0.1,real,1.6985533211224923e-10,True
"frequency__fft_coefficient__attr_""imag""__coeff_2","frequency__fft_coefficient__attr_""imag""__coeff_2",real,1.78601582311583e-10,True
"frequency__fft_coefficient__attr_""imag""__coeff_3","frequency__fft_coefficient__attr_""imag""__coeff_3",real,1.78601582311583e-10,True
frequency__energy_ratio_by_chunks__num_segments_10__segment_focus_5,frequency__energy_ratio_by_chunks__num_segments_10__segment_focus_5,real,2.015695647928243e-10,True
frequency__autocorrelation__lag_8,frequency__autocorrelation__lag_8,real,2.015695647928243e-10,True
"frequency__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""max""","frequency__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""max""",real,2.2741458344816316e-10,True
frequency__autocorrelation__lag_6,frequency__autocorrelation__lag_6,real,2.4152390931730867e-10,True
"frequency__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""max""","frequency__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""max""",real,2.723541893648325e-10,True
"frequency__linear_trend__attr_""slope""","frequency__linear_trend__attr_""slope""",real,2.891786169961475e-10,True
"frequency__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""mean""","frequency__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""mean""",real,2.891786169961475e-10,True
frequency__autocorrelation__lag_9,frequency__autocorrelation__lag_9,real,2.891786169961475e-10,True
"frequency__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""mean""","frequency__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""mean""",real,2.891786169961475e-10,True
"frequency__agg_linear_trend__attr_""slope""__chunk_len_50__f_agg_""mean""","frequency__agg_linear_trend__attr_""slope""__chunk_len_50__f_agg_""mean""",real,3.0701650937878276e-10,True
"frequency__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""max""","frequency__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""max""",real,3.4597375537739927e-10,True
frequency__maximum,frequency__maximum,real,4.1361009040997787e-10,True
frequency__absolute_maximum,frequency__absolute_maximum,real,4.1361009040997787e-10,True
"frequency__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""min""","frequency__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""min""",real,4.3890178312705815e-10,True
"frequency__fft_coefficient__attr_""imag""__coeff_1","frequency__fft_coefficient__attr_""imag""__coeff_1",real,5.897938909679996e-10,True
"frequency__linear_trend__attr_""pvalue""","frequency__linear_trend__attr_""pvalue""",real,6.633231988377198e-10,True
"frequency__linear_trend__attr_""rvalue""","frequency__linear_trend__attr_""rvalue""",real,6.634033583096535e-10,True
"frequency__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""min""","frequency__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""min""",real,7.034958888446923e-10,True
frequency__energy_ratio_by_chunks__num_segments_10__segment_focus_6,frequency__energy_ratio_by_chunks__num_segments_10__segment_focus_6,real,7.459486489692049e-10,True
"frequency__linear_trend__attr_""intercept""","frequency__linear_trend__attr_""intercept""",real,8.888569587280731e-10,True
"frequency__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""mean""","frequency__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""mean""",real,8.888569587280731e-10,True
"frequency__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""mean""","frequency__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""mean""",real,8.888569587280731e-10,True
"frequency__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""mean""","frequency__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""mean""",real,8.888569587280731e-10,True
frequency__quantile__q_0.9,frequency__quantile__q_0.9,real,9.421784064331e-10,True
"frequency__agg_autocorrelation__f_agg_""mean""__maxlag_40","frequency__agg_autocorrelation__f_agg_""mean""__maxlag_40",real,1.0583422447908106e-09,True
"frequency__agg_linear_trend__attr_""rvalue""__chunk_len_50__f_agg_""max""","frequency__agg_linear_trend__attr_""rvalue""__chunk_len_50__f_agg_""max""",real,1.0583422447908106e-09,True
"frequency__fft_coefficient__attr_""angle""__coeff_2","frequency__fft_coefficient__attr_""angle""__coeff_2",real,1.1215479655345347e-09,True
"frequency__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""max""","frequency__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""max""",real,1.188428505314191e-09,True
"frequency__agg_linear_trend__attr_""rvalue""__chunk_len_5__f_agg_""max""","frequency__agg_linear_trend__attr_""rvalue""__chunk_len_5__f_agg_""max""",real,1.4132520908314696e-09,True
frequency__partial_autocorrelation__lag_4,frequency__partial_autocorrelation__lag_4,real,1.4132520908314696e-09,True
"frequency__fft_coefficient__attr_""angle""__coeff_1","frequency__fft_coefficient__attr_""angle""__coeff_1",real,1.4132520908314696e-09,True
frequency__index_mass_quantile__q_0.6,frequency__index_mass_quantile__q_0.6,real,1.7574990389872007e-09,True
frequency__lempel_ziv_complexity__bins_2,frequency__lempel_ziv_complexity__bins_2,real,1.9760701623475937e-09,True
"frequency__fft_coefficient__attr_""abs""__coeff_2","frequency__fft_coefficient__attr_""abs""__coeff_2",real,1.9940097849683835e-09,True
frequency__c3__lag_3,frequency__c3__lag_3,real,1.9940097849683835e-09,True
frequency__c3__lag_2,frequency__c3__lag_2,real,2.111142281306803e-09,True
"frequency__fft_coefficient__attr_""abs""__coeff_1","frequency__fft_coefficient__attr_""abs""__coeff_1",real,2.111142281306803e-09,True
frequency__c3__lag_1,frequency__c3__lag_1,real,2.3658569728836565e-09,True
"frequency__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""min""","frequency__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""min""",real,2.5042014023433445e-09,True
"frequency__agg_linear_trend__attr_""rvalue""__chunk_len_10__f_agg_""max""","frequency__agg_linear_trend__attr_""rvalue""__chunk_len_10__f_agg_""max""",real,2.804925678165487e-09,True
"frequency__agg_linear_trend__attr_""slope""__chunk_len_50__f_agg_""min""","frequency__agg_linear_trend__attr_""slope""__chunk_len_50__f_agg_""min""",real,2.9681968415842433e-09,True
"frequency__agg_linear_trend__attr_""rvalue""__chunk_len_5__f_agg_""mean""","frequency__agg_linear_trend__attr_""rvalue""__chunk_len_5__f_agg_""mean""",real,2.9681968415842433e-09,True
"frequency__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""min""","frequency__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""min""",real,3.718890352284836e-09,True
"frequency__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""min""","frequency__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""min""",real,4.653188772339773e-09,True
frequency__energy_ratio_by_chunks__num_segments_10__segment_focus_3,frequency__energy_ratio_by_chunks__num_segments_10__segment_focus_3,real,5.500103992932536e-09,True
frequency__root_mean_square,frequency__root_mean_square,real,5.814397973056393e-09,True
"frequency__fft_coefficient__attr_""imag""__coeff_4","frequency__fft_coefficient__attr_""imag""__coeff_4",real,5.814397973056393e-09,True
"frequency__agg_linear_trend__attr_""rvalue""__chunk_len_5__f_agg_""min""","frequency__agg_linear_trend__attr_""rvalue""__chunk_len_5__f_agg_""min""",real,5.814397973056393e-09,True
frequency__abs_energy,frequency__abs_energy,real,5.814397973056393e-09,True
"frequency__fft_coefficient__attr_""real""__coeff_1","frequency__fft_coefficient__attr_""real""__coeff_1",real,6.1461360124542294e-09,True
frequency__quantile__q_0.8,frequency__quantile__q_0.8,real,7.25564101342681e-09,True
frequency__partial_autocorrelation__lag_5,frequency__partial_autocorrelation__lag_5,real,7.667035308574647e-09,True
frequency__ratio_beyond_r_sigma__r_3,frequency__ratio_beyond_r_sigma__r_3,real,8.347888358581145e-09,True
"frequency__agg_autocorrelation__f_agg_""median""__maxlag_40","frequency__agg_autocorrelation__f_agg_""median""__maxlag_40",real,1.0655470635834527e-08,True
"frequency__agg_linear_trend__attr_""rvalue""__chunk_len_10__f_agg_""mean""","frequency__agg_linear_trend__attr_""rvalue""__chunk_len_10__f_agg_""mean""",real,1.3985959833911403e-08,True
"frequency__agg_linear_trend__attr_""rvalue""__chunk_len_50__f_agg_""mean""","frequency__agg_linear_trend__attr_""rvalue""__chunk_len_50__f_agg_""mean""",real,1.4764100764927097e-08,True
"frequency__fft_coefficient__attr_""real""__coeff_7","frequency__fft_coefficient__attr_""real""__coeff_7",real,1.4764100764927097e-08,True
"frequency__fft_coefficient__attr_""abs""__coeff_0","frequency__fft_coefficient__attr_""abs""__coeff_0",real,1.55842293000016e-08,True
"frequency__fft_coefficient__attr_""real""__coeff_0","frequency__fft_coefficient__attr_""real""__coeff_0",real,1.55842293000016e-08,True
frequency__sum_values,frequency__sum_values,real,1.55842293000016e-08,True
frequency__mean,frequency__mean,real,1.55842293000016e-08,True
frequency__kurtosis,frequency__kurtosis,real,1.9330129010194475e-08,True
frequency__quantile__q_0.7,frequency__quantile__q_0.7,real,3.6592425398951076e-08,True
frequency__autocorrelation__lag_5,frequency__autocorrelation__lag_5,real,3.857014286994658e-08,True
frequency__approximate_entropy__m_2__r_0.7,frequency__approximate_entropy__m_2__r_0.7,real,5.011946432478115e-08,True
"frequency__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.8","frequency__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.8",real,5.8590009195607215e-08,True
frequency__approximate_entropy__m_2__r_0.5,frequency__approximate_entropy__m_2__r_0.5,real,5.8590009195607215e-08,True
frequency__approximate_entropy__m_2__r_0.9,frequency__approximate_entropy__m_2__r_0.9,real,6.844060567757442e-08,True
frequency__energy_ratio_by_chunks__num_segments_10__segment_focus_4,frequency__energy_ratio_by_chunks__num_segments_10__segment_focus_4,real,7.587973603124029e-08,True
frequency__approximate_entropy__m_2__r_0.3,frequency__approximate_entropy__m_2__r_0.3,real,9.317816110636136e-08,True
"frequency__agg_linear_trend__attr_""rvalue""__chunk_len_50__f_agg_""min""","frequency__agg_linear_trend__attr_""rvalue""__chunk_len_50__f_agg_""min""",real,9.806645643588352e-08,True
frequency__quantile__q_0.6,frequency__quantile__q_0.6,real,1.032025772591995e-07,True
"frequency__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.8","frequency__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.8",real,1.1426726049882831e-07,True
"frequency__agg_linear_trend__attr_""rvalue""__chunk_len_10__f_agg_""min""","frequency__agg_linear_trend__attr_""rvalue""__chunk_len_10__f_agg_""min""",real,1.26475958350194e-07,True
